Stopping Criterion,Distribution,MC/QMC,mean_shift,solution,n_samples,time
CubQMCLatticeG,Lattice,QMC,0.1,1.794336467200364,2048.0,0.010688702265421549
CubQMCLatticeG,Lattice,QMC,0.2,1.8009083974957534,1024.0,0.005904992421468099
CubQMCLatticeG,Lattice,QMC,0.3,1.7962440426882995,1024.0,0.0056819915771484375
CubQMCLatticeG,Lattice,QMC,0.4,1.794300605710647,1024.0,0.005355278650919597
CubQMCLatticeG,Lattice,QMC,0.5,1.7936565774049207,1024.0,0.005118449529012044
CubQMCLatticeG,Lattice,QMC,0.6,1.794544426972181,1024.0,0.005277554194132487
CubQMCLatticeG,Lattice,QMC,0.7,1.7946601038198002,1024.0,0.005240996678670247
CubQMCLatticeG,Lattice,QMC,0.8,1.7931977899521565,1024.0,0.005179166793823242
CubQMCLatticeG,Lattice,QMC,0.9,1.7911055928382442,1024.0,0.00510398546854655
CubQMCLatticeG,Lattice,QMC,1.0,1.7909894696033275,1024.0,0.005027929941813151
CubQMCLatticeG,Lattice,QMC,1.1,1.7912092213224107,1024.0,0.004991849263509114
CubQMCLatticeG,Lattice,QMC,1.2,1.7941423897541586,1024.0,0.005036354064941406
CubQMCLatticeG,Lattice,QMC,1.3,1.8039633693025003,1024.0,0.004963000615437825
CubQMCLatticeG,Lattice,QMC,1.4,1.8129760313743954,1024.0,0.005099773406982422
CubQMCLatticeG,Lattice,QMC,1.5,1.8208888897368134,1024.0,0.005047798156738281
CubQMCLatticeG,Lattice,QMC,1.6,1.8244927405406475,1024.0,0.005102634429931641
CubQMCLatticeG,Lattice,QMC,1.7,1.8113684881959002,2048.0,0.00858306884765625
CubQMCLatticeG,Lattice,QMC,1.8,1.8135599545115813,2048.0,0.008530616760253906
CubQMCLatticeG,Lattice,QMC,1.9,1.8141856116178348,2048.0,0.008231798807779947
CubQMCLatticeG,Lattice,QMC,2.0,1.8161878404612566,2048.0,0.00850836435953776
CubQMCLatticeG,Lattice,QMC,2.1,1.8196351918272728,2048.0,0.008547703425089518
CubQMCLatticeG,Lattice,QMC,2.2,1.825475296648128,2048.0,0.008328119913736979
CubQMCLatticeG,Lattice,QMC,2.3,1.8038667462189217,4096.0,0.0169833501180013
CubQMCLatticeG,Lattice,QMC,2.4,1.8070691468533482,4096.0,0.018025318781534832
CubQMCLatticeG,Lattice,QMC,2.5,1.8071951486579712,4096.0,0.017814795176188152
CubQMCLatticeG,Lattice,QMC,2.6,1.8021488100033227,4096.0,0.01821732521057129
